predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.002832645284217212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.010121923165401427,0.009301319489508977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012511729746637473,0,0,0.01092896174863388,0,0,0,0,0,0,0,0,0,0,0,0,0.006672616770793489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008390541571319604,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406110720150129,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.0016543129826929995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030668777206173327,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.004049238743116294,0.0024167561761546724,0,0,0,0,0.003413109630726211,0,0.002057960415904893,0,0,0,0,0.002788220551378446,0.003499950704919649,0.0013793396146337322,0,0,0.0022020696057785927,0,0,0,0,0,0.001581799675387197,0,0,0,0,0.0005183069942106087,0,0,0.004437965662455458,0,0,0,0,0.002056297243762269,0,0,0,0,0,0.002297410192147034,0.002203641389936893,0,0.0027022624970386164,0,0,0,0,0,0,0,0,0.0017653029701222471
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030233994080950456,0,0,0,0,0,0.002897126154323702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003377847604084839,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019350019563438897,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.0015575362165763452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031766992226430137,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.006462585034013605,0,0,0,0,0,0.006023316062176166,0,0,0,0,0,0,0,0.006909937888198758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00408115671641791,0,0,0,0,0.0037176724137931035,0,0,0,0.0026529193697868397
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024846929309171872,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037748982651531378,0,0,0,0
20,0,0,0,0,0.002122060945590357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002544097693351425,0,0,0,0,0.001605814739688979,0,0,0,0.0025920217273867167
21,0,0,0,0,0,0,0,0,0,0.0015678666298199208,0,0,0,0,0,0,0,0,0,0,0,0.0011016195740404314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001712639337779456,0,0
22,0,0,0,0.010427712972781902,0,0,0,0,0,0.006813644648902005,0,0,0,0,0,0,0,0,0,0,0.0,0.018738845925044618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006948918545789232,0,0,0,0.0005708997077597091,0,0,0,0,0,0,0,0,0,0,0,0,0.007001327048917769,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016067593862545706,0,0,0,0,0,0,0,0,0,0,0
24,0,0.002979743864482882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026460617639848167,0,0,0,0,0,0,0
25,0,0.0019285803160383227,0,0,0,0,0,0,0,0,0,0.001915467310992051,0,0.0020709847889737914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029419151149858284,0.002053004852556924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001803863359927433,0,0,0,0,0,0,0
26,0,0,0,0.001759636434172971,0,0,0,0,0,0.0015173887304967917,0,0,0,0,0,0,0,0,0,0,0,0.002203516299025323,0,0,0,0,0,0,0,0.0019120458891013384,0,0,0,0,0,0,0,0,0,0,0.0018867924528301887,0,0.001778928770239853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001447486897284034,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005396599124325425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.0033692722371967657,0.002065145968271848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029791459781529296,0,0,0,0,0
29,0,0,0.0018262241651361907,0,0,0,0,0,0,0,0,0,0,0.0012745473828274729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014032027368102331,0,0,0.0015310841989984157,0.0015161933352565923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014747992610658963,0,0,0,0,0,0,0.0013339743032556423,0,0,0
30,0.005804773846010959,0,0,0,0,0.002984264785675529,0,0,0,0,0,0,0,0,0,0.002059991424470088,0,0,0,0.001580388481540695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010811756868147379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.0017177571067757817,0,0,0,0,0,0,0,0,0,0,0,0.0018999058166347309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015364129878111237,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0.002282787749143174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002632026469438718,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.0063327576280944155,0,0,0,0,0,0,0,0.00733264320220842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005498866213151927,0,0,0,0,0,0,0,0,0,0,0,0.002805535728447934,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0.0010212142130245731,0,0,0,0,0.0007032916354412867,0,0,0,0,0.0006734238210786344,0,0,0,0,0,0.0010573252518503193,0,0,0,0,0,0,0,0,0,0,0,0,0.0010516196137247775,0,0,0,0,0,0.0007998501181760535,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033380226585976976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031140042223786065,0,0,0,0
38,0,0.0022219229733369244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
