predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.003992628992628993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.010560146923783287,0.003987240829346092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003276003276003276,0,0,0.005912786400591279,0,0,0,0,0,0,0,0,0,0,0,0,0.00557297109021247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819000819000819,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451767207015679,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.003644694366343851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004226587913028591,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.002134016218523261,0.003060912151821243,0,0,0,0,0.005605654399220083,0,0.0021868166198063107,0,0,0,0,0.0031385281385281384,0.0021645021645021645,0.003167450365726228,0,0,0.0025826446280991736,0,0,0,0,0,0.003240766608928871,0,0,0,0,0.0029696464225238204,0,0,0.002457002457002457,0,0,0,0,0.002796420581655481,0,0,0,0,0,0.0030174627632254753,0.002446338383838384,0,0.0017045454545454545,0,0,0,0,0,0,0,0,0.004538680395610351
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026913875598086126,0,0,0,0,0,0.004561187849771941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004962087421944692,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003241940207718476,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.0015558740612636518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022461814914645105,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.004225352112676056,0,0,0,0,0,0.0023458445040214475,0,0,0,0,0,0,0,0.004365079365079365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004054054054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0.005188679245283019,0,0,0,0.004508196721311476
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008108108108108109,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056903264450434265,0,0,0,0
20,0,0,0,0,0.0022462360369111217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017241379310344827,0,0,0,0,0.0025211450878334417,0,0,0,0.0026626496736728506
21,0,0,0,0,0,0,0,0,0,0.0030658491069048255,0,0,0,0,0,0,0,0,0,0,0,0.002860775588048315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002903730176457449,0,0
22,0,0,0,0.002913752913752914,0,0,0,0,0,0.0037220843672456576,0,0,0,0,0,0,0,0,0,0,0.0,0.0022189349112426036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031256622165713073,0,0,0,0.0017396740027834784,0,0,0,0,0,0,0,0,0,0,0,0,0.004158004158004158,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024857954545454545,0,0,0,0,0,0,0,0,0,0,0
24,0,0.003834915997078159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035711387062738412,0,0,0,0,0,0,0
25,0,0.0027137793531236153,0,0,0,0,0,0,0,0,0,0.002524398309662892,0,0.0019861286254728877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003278688524590164,0.004132800661248106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020184118544774284,0,0,0,0,0,0,0
26,0,0,0,0.0031456432840515887,0,0,0,0,0,0.0040183056144659,0,0,0,0,0,0,0,0,0,0,0,0.003393665158371041,0,0,0,0,0,0,0,0.0030464871370543102,0,0,0,0,0,0,0,0,0,0,0.002916869227029655,0,0.004325259515570935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003179650238473768,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005420054200542005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.0032875929102344197,0.003227408142999007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004043126684636119,0,0,0,0,0
29,0,0,0.001634352126054646,0,0,0,0,0,0,0,0,0,0,0.0029986761855231433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001968862285350752,0,0,0.0016936420132486513,0.0015908022705086952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018073718865432948,0,0,0,0,0,0,0.001950419995902479,0,0,0
30,0.0030570652173913045,0,0,0,0,0.0015005123700775876,0,0,0,0,0,0,0,0,0,0.002129794756759108,0,0,0,0.001460207396301849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011392343861430418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.0033878332596847843,0,0,0,0,0,0,0,0,0,0,0,0.004039339655778012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019745773170430705,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0.0019867560447342104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019112953853172305,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.0030831099195710457,0,0,0,0,0,0,0,0.004365079365079365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033783783783783786,0,0,0,0,0,0,0,0,0,0,0,0.0048177083333333336,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0.0027858266768699003,0,0,0,0,0.0027880376504229717,0,0,0,0,0.0029664872242019867,0,0,0,0,0,0.0026666352261385615,0,0,0,0,0,0,0,0,0,0,0,0,0.0023957324616151045,0,0,0,0,0,0.0023253841478067883,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003653846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028046914839367667,0,0,0,0
38,0,0.002556610664718773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
