iteration,S,L,L/S,C,T,B,I,Ca,Loop,NCycles,O,T-B,T-I,I-I,I-B,GenSD,VulSD,MxSim,MaxChainLength,MeanFoodChainLength,ChnSD,ChnNo,complexity,dynamic_complexity,components,cc,compartmentalisation,mean_tp,sd_tp,stable,mean_cv,nodf,h2,G_qi,V_qi,G_q,V_q,spatially_stable,mean_cv_centroid,mean_cv_area,mean_cv_density
0,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,,,13.157894736842104,,4.795454545454546,3.8363636363636364,,,,,,
200,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.79662554887665615,13.157894736842104,2.0956611987387901,4.795454545454546,3.8363636363636364,10.78826238463564,4.295681836276005,False,[ 0.09027762  0.0822308 ],0.089170610478785106,0.76466576614769366
400,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.48406905592081773,13.157894736842104,0.85675334088962973,4.795454545454546,3.8363636363636364,9.56382311711482,3.7400433286606343,False,[ 0.07381349  0.07669495],0.096814826855976963,0.46505259999195925
600,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.36892258688318819,13.157894736842104,0.76707590099872458,4.795454545454546,3.8363636363636364,7.086251497810676,4.0033931711031725,False,[ 0.0674669   0.07080357],0.091623922003531491,0.35263626436279494
800,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.21149755176783167,13.157894736842104,0.98952331009430405,4.795454545454546,3.8363636363636364,7.130912433715079,3.901986623012585,False,[ 0.07575451  0.0767628 ],0.093271628375332066,0.19672391349705753
1000,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.20511766100941833,13.157894736842104,0.84428477499652577,4.795454545454546,3.8363636363636364,7.284021622715658,3.7453975830459023,False,[ 0.07193924  0.07077929],0.087867488977264721,0.21003523967738941
1200,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.20146295512185031,13.157894736842104,0.97355618197842486,4.795454545454546,3.8363636363636364,8.057863481443796,3.9134433994120004,False,[ 0.07624461  0.07554033],0.097001161879837358,0.21355296372443394
1400,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.17770727314769338,13.157894736842104,0.84798713367031842,4.795454545454546,3.8363636363636364,7.009348710363316,3.778273396813658,False,[ 0.08231565  0.06984934],0.10273414484469087,0.20099246498146814
1600,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.16615279526766341,13.157894736842104,0.81764356467247301,4.795454545454546,3.8363636363636364,6.806330098510733,3.8651229653400234,False,[ 0.07553091  0.07548612],0.094156988588388515,0.18433841232727
1800,60,211,3.5166666666666666,0.058611111111111114,0.08333333333333333,0.26666666666666666,0.65,0.03333333333333333,0.05,2,0.4,0.037914691943127965,0.0947867298578199,0.5829383886255924,0.2843601895734597,1.367189741616885,0.5046670174922342,0.5952778702778705,10,5.436222403924775,1.5867162903720322,3.865577707419929,3.5166666666666666,,1,0.24124252495533957,0.001694915254237288,2.7284078606830606,1.706705243849,False,0.17415851613910024,13.157894736842104,0.9187135013843305,4.795454545454546,3.8363636363636364,7.207116363090125,3.853308785295829,False,[ 0.07001212  0.06964525],0.086689840946942542,0.19867076658676655
