predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.005543727152211465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.003968253968253968,0.0035612535612535613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003968253968253968,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.004273504273504274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002955082742316785,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035842293906810036,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.002840909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003212325349301397,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.0022675736961451248,0.003720238095238095,0,0,0,0,0.0035353535353535356,0,0.004449254449254449,0,0,0,0,0.005038529934795495,0.002609262883235486,0.005095042132079169,0,0,0.005322128851540616,0,0,0,0,0,0.0039946929710709235,0,0,0,0,0.003957657829486935,0,0,0.0044444444444444444,0,0,0,0,0.0034988905956647894,0,0,0,0,0,0.0028989639768082884,0.00324254215304799,0,0.005325814536340852,0,0,0,0,0,0,0,0,0.002278140209174692
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004223227752639517,0,0,0,0,0,0.004317507648822004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004606172270842929,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002430098082271995,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.0014619085735396308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008960573476702509,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.001889644746787604,0,0,0,0,0,0.007287157287157287,0,0,0,0,0,0,0,0.002609262883235486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005952380952380952,0,0,0,0,0.002304147465437788,0,0,0,0.00230772644565748
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015413395424739048,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008174988952717632,0,0,0,0
20,0,0,0,0,0.001992292115748906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002761533463287849,0,0,0,0,0.0022567370237621133,0,0,0,0.002782475962552591
21,0,0,0,0,0,0,0,0,0,0.0036525974025974025,0,0,0,0,0,0,0,0,0,0,0,0.0015873015873015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002455357142857143,0,0
22,0,0,0,0.004320987654320987,0,0,0,0,0,0.0026936026936026937,0,0,0,0,0,0,0,0,0,0,0.0,0.0034567901234567903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005523066926575698,0,0,0,0.0019588638589618022,0,0,0,0,0,0,0,0,0,0,0,0,0.0033333333333333335,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002243076218814374,0,0,0,0,0,0,0,0,0,0,0
24,0,0.003016338500209468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031517643028434396,0,0,0,0,0,0,0
25,0,0.002395605303374499,0,0,0,0,0,0,0,0,0,0.0023820777011059648,0,0.004799438834843926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011464133639043563,0.001971830985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002161650960921404,0,0,0,0,0,0,0
26,0,0,0,0.003191856452726018,0,0,0,0,0,0.0030114812723508375,0,0,0,0,0,0,0,0,0,0,0,0.003450655624568668,0,0,0,0,0,0,0,0.003299689440993789,0,0,0,0,0,0,0,0,0,0,0.0032236388071628344,0,0.003176171654432524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003027950310559006,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031311154598825833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.003251520872666247,0.003388681802778719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003483249667042311,0,0,0,0,0
29,0,0,0.001593056926893622,0,0,0,0,0,0,0,0,0,0,0.0024973942477373814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020264190168608775,0,0,0.0015917062245573508,0.0015748031496062992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020548294151944164,0,0,0,0,0,0,0.0016096512698820973,0,0,0
30,0.002938034188034188,0,0,0,0,0.0010850694444444445,0,0,0,0,0,0,0,0,0,0.002111064891846922,0,0,0,0.0012967249657064473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.0020567667626491155,0,0,0,0,0,0,0,0,0,0,0,0.004625439919557567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022624434389140274,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0.002053221782310013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020232091531449028,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.0023651145602365115,0,0,0,0,0,0,0,0.003007016371533578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002926829268292683,0,0,0,0,0,0,0,0,0,0,0,0.003701243238113315,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0.0025825680031287507,0,0,0,0,0.0013434233196128725,0,0,0,0,0.002654519751825964,0,0,0,0,0,0.002508088717522819,0,0,0,0,0,0,0,0,0,0,0,0,0.002940599413315723,0,0,0,0,0,0.0021772209919280264,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365753299399555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150537634408602,0,0,0,0
38,0,0.0033514872224549644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
