predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.006188548293811452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.005266075388026608,0.004772004241781549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004164187983343248,0,0,0.003658536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0.0034129692832764505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005543237250554324,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004195804195804196,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.003473056104635052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036518654324852063,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.002097902097902098,0.003316659417137886,0,0,0,0,0.0029013539651837525,0,0.0021937521937521937,0,0,0,0,0.0029987373737373735,0.0016766020864381521,0.00280089628681178,0,0,0.004204545454545455,0,0,0,0,0,0.002984189723320158,0,0,0,0,0.0031014112241549065,0,0,0.0029904306220095694,0,0,0,0,0.003531941031941032,0,0,0,0,0,0.003150665533843104,0.0016737138830162086,0,0.0023612750885478157,0,0,0,0,0,0,0,0,0.002684879886952426
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004782608695652174,0,0,0,0,0,0.004253308128544423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392794257077069,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030521715852062994,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0.0015189255189255188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005909090909090909,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.0035502958579881655,0,0,0,0,0,0.002182214948172395,0,0,0,0,0,0,0,0.003362757461118117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003711201079622132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004329004329004329,0,0,0,0,0.0013986013986013986,0,0,0,0.0028563836853992292
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011416716358576823,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005961251862891207,0,0,0,0
20,0,0,0,0,0.00288912964969303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002560819462227913,0,0,0,0,0.0028169014084507044,0,0,0,0.0028120362937556253
21,0,0,0,0,0,0,0,0,0,0.0028956453948101126,0,0,0,0,0,0,0,0,0,0,0,0.0019448672416708945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003995433789954338,0,0
22,0,0,0,0.005871725383920506,0,0,0,0,0,0.004968383017163505,0,0,0,0,0,0,0,0,0,0,0.0,0.0024005486968449933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037313432835820895,0,0,0,0.0019740552735476595,0,0,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248062015503876,0,0,0,0,0,0,0,0,0,0,0
24,0,0.0035915304207987135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005628517823639775,0,0,0,0,0,0,0
25,0,0.002403846153846154,0,0,0,0,0,0,0,0,0,0.0017694978632478632,0,0.004763888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002063679245283019,0.004227053140096618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033542039355992843,0,0,0,0,0,0,0
26,0,0,0,0.0032576010691613764,0,0,0,0,0,0.0030905446040761777,0,0,0,0,0,0,0,0,0,0,0,0.0038685946220192793,0,0,0,0,0,0,0,0.004932763604373508,0,0,0,0,0,0,0,0,0,0,0.0037313432835820895,0,0.0030169602087410305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029965753424657533,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069672131147540985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.002614641995172969,0.003366679492112351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003343166175024582,0,0,0,0,0
29,0,0,0.0014950419527078565,0,0,0,0,0,0,0,0,0,0,0.0019142028985507245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022855549475988045,0,0,0.001804757998359311,0.0019407687460617517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019373104145601618,0,0,0,0,0,0,0.0016172287687931735,0,0,0
30,0.004294358774155768,0,0,0,0,0.002765462446775822,0,0,0,0,0,0,0,0,0,0.0027855106235530774,0,0,0,0.002218202179437481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003192793031497367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.002549889135254989,0,0,0,0,0,0,0,0,0,0,0,0.004461279461279461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003522727272727273,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0.0020855938994854776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020772829945143595,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.0016252955082742316,0,0,0,0,0,0,0,0.004439890710382513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001918859649122807,0,0,0,0,0,0,0,0,0,0,0,0.0030684754521963825,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0.0027570634068829016,0,0,0,0,0.00498896911351785,0,0,0,0,0.002476534296028881,0,0,0,0,0,0.002549678229477319,0,0,0,0,0,0,0,0,0,0,0,0,0.002439262367060201,0,0,0,0,0,0.002498959703993612,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005207547169811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005741626794258373,0,0,0,0
38,0,0.0035071311667056347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
