predator/prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.2883435582822086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.19047619047619047,0.10256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1388888888888889,0,0,0.07317073170731707,0,0,0,0,0,0,0,0,0,0,0,0,0.2674897119341564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22727272727272727,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.6194690265486725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5584415584415584,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.140625,0.22926829268292684,0,0,0,0,0.20205479452054795,0,0.2743362831858407,0,0,0,0,0.15151515151515152,0.13114754098360656,0.3292079207920792,0,0,0.23595505617977527,0,0,0,0,0,0.2127894156560088,0,0,0,0,0.22162883845126835,0,0,0.16666666666666666,0,0,0,0,0.14942528735632185,0,0,0,0,0,0.2077922077922078,0.21052631578947367,0,0.19696969696969696,0,0,0,0,0,0,0,0,0.21558040879290397
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19101123595505617,0,0,0,0,0,0.15380374862183022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1461038961038961,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0113700966458214,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1.2234149614223415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0.140625,0,0,0,0,0,0.10273972602739725,0,0,0,0,0,0,0,0.14754098360655737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15151515151515152,0,0,0,0,0.12121212121212122,0,0,0,0.15156189741612033
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5157232704402516,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5454545454545454,0,0,0,0
20,0,0,0,0,1.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8636363636363636,0,0,0,0,0.9545454545454546,0,0,0,1.1056691091399924
21,0,0,0,0,0,0,0,0,0,1.048780487804878,0,0,0,0,0,0,0,0,0,0,0,0.5294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0,0
22,0,0,0,0.03125,0,0,0,0,0,0.21951219512195122,0,0,0,0,0,0,0,0,0,0,0.0,0.13725490196078433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17553191489361702,0,0,0,0.09467654986522911,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29473684210526313,0,0,0,0,0,0,0,0,0,0,0
24,0,0.13803680981595093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1792452830188679,0,0,0,0,0,0,0
25,0,0.26993865030674846,0,0,0,0,0,0,0,0,0,0.23448507212344852,0,0.23019271948608136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35714285714285715,0.17985611510791366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24528301886792453,0,0,0,0,0,0,0
26,0,0,0,1.40625,0,0,0,0,0,0.6829268292682927,0,0,0,0,0,0,0,0,0,0,0,1.2156862745098038,0,0,0,0,0,0,0,0.8548387096774194,0,0,0,0,0,0,0,0,0,0,1.0319148936170213,0,1.186046511627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14754098360655737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.8253968253968254,0.9230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0
29,0,0,3.3098591549295775,0,0,0,0,0,0,0,0,0,0,4.153104925053533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.029371770465053,0,0,3.9166666666666665,3.2517985611510793,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9447852760736195,0,0,0,0,0,0,2.51,0,0,0
30,0.26229508196721313,0,0,0,0,0.3073170731707317,0,0,0,0,0,0,0,0,0,0.30598520511096167,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2963951935914553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.6585365853658537,0,0,0,0,0,0,0,0,0,0,0,0.803921568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8055555555555556,0,0
32,0,0,0,0,0,0,0,0,0,0,0,16.16169070781617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.704093234792495,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0.11301369863013698,0,0,0,0,0,0,0,0.16393442622950818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.16842105263157894,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,4.199115044247788,0,0,0,0,3.717171717171717,0,0,0,0,3.966292134831461,0,0,0,0,0,4.181367144432194,0,0,0,0,0,0,0,0,0,0,0,0,4.272030651340996,0,0,0,0,0,4.071428571428571,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5738758029978587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30303030303030304,0,0,0,0
38,0,0.12269938650306748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,1.7024539877300613,1.3661971830985915,0,1.671875,0,0,0,0,0,1.345890410958904,1.5333780610533378,0,1.189507494646681,0,0,0,0,1.540983606557377,0,0,0,0,0,0,0,0,0,0,0,0,1.5013598041881968,0,0,1.3452380952380953,1.5755395683453237,1.6805555555555556,0,0,0,0,0,0,0,0,0,0,0,0,1.4723926380368098,1.7424242424242424,0,1.6823899371069182,0,0,1.4393939393939394,1.32,0,0,1.7547242576166602
