iteration,total_sp,total_count,prod_sp,prod_count,mut_prod_sp,mut_prod_count,herb_sp,herb_count,mut_sp,mut_count,prim_pred_sp,prim_pred_count,sec_pred_sp,sec_pred_count,shannon_index,shannon_eq,shannon_index_prods,shannon_eq_prods,shannon_index_herbs,shannon_eq_herbs,shannon_index_interm,shannon_eq_interm,shannon_index_top,shannon_eq_top
27,60,60679,11,23004,5,9234,8,6385,8,4263,23,14302,5,3491,5.5266688991805974,0.9356308212800493,3.99045721520683,0.9976143038017075,3.9318027589857985,0.9829506897464496,3.9536113684464826,0.8740040275457328,2.2771058289040824,0.9806961007612709
28,60,60580,11,22833,5,9127,8,6273,8,4181,23,14601,5,3565,5.517352612570431,0.9340536316471325,3.9896962242035476,0.9974240560508869,3.929363844077467,0.9823409610193667,3.905236816472889,0.8633101203010624,2.273836441986143,0.9792880524564426
29,60,60488,11,22645,5,9045,8,6207,8,4090,23,14840,5,3661,5.508889094711124,0.9326208104830502,3.988991504996995,0.9972478762492487,3.9235388750351072,0.9808847187587768,3.8639974695862964,0.8541935552385737,2.270906204868939,0.9780260680204662
30,60,60478,11,22462,5,8987,8,6148,8,4018,23,15115,5,3748,5.499781130981588,0.9310788886238055,3.9883723777774445,0.9970930944443611,3.918619097971524,0.979654774492881,3.8208194275357887,0.8446484130541735,2.2679499093786837,0.9767528608540752
31,60,60455,11,22294,5,8916,8,6092,8,3939,23,15385,5,3829,5.488626585256283,0.9291904931059339,3.987528623421043,0.9968821558552607,3.9128091438391266,0.9782022859597816,3.773692785274316,0.8342303746324004,2.2655253676199085,0.9757086675545007
32,60,60369,11,22115,5,8848,8,6026,8,3845,23,15624,5,3911,5.477756266430719,0.9273502154421414,3.9865962738223764,0.9966490684555941,3.9063069106710233,0.9765767276677558,3.732669356155499,0.82516154137283,2.2624731750834,0.9743941597783
33,60,60294,11,21918,5,8792,8,5941,8,3730,23,15897,5,4016,5.463527629681685,0.9249413953499575,3.9856902994639025,0.9964225748659756,3.899796125638133,0.9749490314095333,3.682183307617134,0.814000856711318,2.2592415717241803,0.9730023839664927
34,60,60300,11,21752,5,8741,8,5865,8,3645,23,16199,5,4098,5.449668338463359,0.9225951031689867,3.9849286367080894,0.9962321591770223,3.893897963568143,0.9734744908920357,3.634207909507994,0.803395188307705,2.2573826831134016,0.9722018042177608
35,60,60222,11,21552,5,8662,8,5781,8,3572,23,16472,5,4183,5.43622377845735,0.9203190224140793,3.983781405176889,0.9959453512942222,3.8887554569354172,0.9721888642338543,3.5887440400992503,0.7933447303167697,2.2549050945055074,0.971134764883791
36,60,60145,11,21346,5,8589,8,5686,8,3494,23,16750,5,4280,5.420805128333776,0.917708740426626,3.9823583921621895,0.9955895980405474,3.882267664827055,0.9705669162067637,3.540386466550839,0.7826545764030689,2.2531304250104833,0.9703704563339562
